id,sentence,origin
004760,头上尽教添白发，鬓边不可无黄菊                                             ,出自宋朝宋江的《满江红·喜遇重阳》                                                                                   
004761,山远翠眉长高处凄凉菊花清瘦杜秋娘                                            ,出自宋朝吴文英的《浪淘沙·九日从吴见山觅酒》                                                                              
004762,临行挽衫袖，更尝折残菊                                                 ,出自宋朝苏轼的《送顿起》                                                                                        
004763,此生只是偿诗债，白菊开时最不眠                                             ,出自唐朝司空图的《白菊杂书四首》                                                                                    
004764,老圃好栽培，菊花五月开                                                 ,出自清朝顾太清的《菩萨蛮·端午日咏盆中菊》                                                                               
004765,梅定妒，菊应羞                                                     ,出自宋朝李清照的《鹧鸪天·桂花》                                                                                    
004766,泛菊杯深，吹梅角远，同在京城                                              ,出自宋朝刘过的《柳梢青·送卢梅坡》                                                                                   
004767,杨柳千条拂面丝，绿烟金穗不胜吹                                             ,出自唐朝温庭筠的《题柳》                                                                                        
004768,夭红过眼随荣谢，菊秀兰香自占春                                             ,出自宋朝王汝舟的《咏归堂隐鳞洞》                                                                                    
004769,中庭月色正清明，无数杨花过无影                                             ,出自宋朝张先的《木兰花·乙卯吴兴寒食》                                                                                 
004770,疏篱下、试觅重阳，醉擘青露菊                                              ,出自宋朝吴文英的《太常引·钱齐参议归山东》                                                                               
004771,欲知怅别心易苦，向暮春风杨柳丝                                             ,出自唐朝李白的《下途归石门旧居》                                                                                    
004772,鬓发已甘尘路白，菊花犹送塞垣黄                                             ,出自明朝齐之鸾的《九日登清水营城》                                                                                   
004773,长杨跨武骑，细柳接戎轩                                                 ,出自唐朝郑愔的《奉和幸望春宫送朔方大总管张仁亶》                                                                            
004774,黄鹂啭处谁同听，白菊开时且剩过                                             ,出自唐朝司空图的《白菊杂书四首》                                                                                    
004775,西宫南内多秋草，落叶满阶红不扫                                             ,出自唐朝白居易的《长恨歌》                                                                                       
004776,沙岸菊开花，霜枝果垂实                                                 ,出自唐朝崔元翰的《奉和圣制重阳旦日百寮曲江宴示怀》                                                                           
004777,常恐秋节至，焜黄华叶衰                                                 ,出自汉朝佚名的《长歌行》                                                                                        
004778,黄菊散芳丛，清泉凝白雪                                                 ,出自清朝德隐的《新秋晚眺》                                                                                       
004779,落叶聚还散，寒鸦栖复惊                                                 ,出自唐朝李白的《三五七言/秋风词》                                                                                   
004780,犹喜闰前霜未下，菊边依旧舞身轻                                             ,出自唐朝司空图的《白菊三首》                                                                                      
004781,冀枝叶之峻茂兮，愿俟时乎吾将刈                                             ,出自先秦屈原的《离骚》                                                                                         
004782,丝长鱼误恐，枝弱禽惊践                                                 ,出自唐朝崔护的《五月水边柳》                                                                                      
004783,桃之夭夭，其叶蓁蓁                                                   ,出自先秦诗经的《桃夭》                                                                                         
004784,解把飞花蒙日月，不知天地有清霜                                             ,出自宋朝曾巩的《咏柳》                                                                                         
004785,江南可采莲，莲叶何田田                                                 ,出自汉朝佚名的《江南》                                                                                         
004786,繁枝容易纷纷落，嫩叶商量细细开                                             ,出自唐朝杜甫的《江畔独步寻花七绝句》                                                                                  
004787,魂来枫叶青，魂返关塞黑                                                 ,出自唐朝杜甫的《梦李白二首·其二》                                                                                   
004788,绿叶阴浓，遍池亭水阁，偏趁凉多                                             ,出自元朝元好问的《骤雨打新荷·绿叶阴浓》                                                                                
004789,桑之未落，其叶沃若                                                   ,出自先秦诗经的《氓》                                                                                          
004790,绿叶翠茎，冒霜停雪                                                   ,出自魏晋左思的《三都赋》                                                                                        
004791,庭中有奇树，绿叶发华滋                                                 ,出自当代佚名的《庭中有奇树》                                                                                      
004792,枝枝相覆盖，叶叶相交通                                                 ,出自汉朝佚名的《孔雀东南飞并序/古诗为焦仲卿妻作》                                                                           
004793,槟榔无柯，椰叶无阴                                                   ,出自魏晋左思的《三都赋》                                                                                        
004794,世间花叶不相伦，花入金盆叶作尘                                             ,出自唐朝李商隐的《赠荷花》                                                                                       
004795,落叶人何在，寒云路几层                                                 ,出自唐朝李商隐的《北青萝》                                                                                       
004796,枣花至小能成实，桑叶虽柔解吐丝                                             ,出自清朝王溥的《咏牡丹》                                                                                        
004797,槐叶初匀日气凉，葱葱鼠耳翠成双                                             ,出自宋朝范成大的《四时田园杂兴·其二十五》                                                                               
004798,雉雊麦苗秀，蚕眠桑叶稀                                                 ,出自唐朝王维的《渭川田家》                                                                                       
004799,相思黄叶落，白露湿青苔                                                 ,出自唐朝李白的《长相思三首》                                                                                      
004800,风波不信菱枝弱，月露谁教桂叶香                                             ,出自唐朝李商隐的《无题·重帏深下莫愁堂》                                                                                
004801,劳歌一曲解行舟，红叶青山水急流                                             ,出自唐朝许浑的《谢亭送别》                                                                                       
004802,落叶委埏侧，枯荄带坟隅                                                 ,出自魏晋潘安的《悼亡诗三首》                                                                                      
004803,水风轻，蘋花渐老，月露冷、梧叶飘黄                                           ,出自宋朝柳永的《玉蝴蝶·望处雨收云断》                                                                                 
004804,黄叶仍风雨，青楼自管弦                                                 ,出自唐朝李商隐的《风雨》                                                                                        
004805,纷纷坠叶飘香砌夜寂静，寒声碎                                              ,出自宋朝范仲淹的《御街行·秋日怀旧》                                                                                  
004806,绿池落尽红蕖却，荷叶犹开最小钱                                             ,出自宋朝杨万里的《秋凉晚步》                                                                                      
004807,翠贴莲蓬小，金销藕叶稀                                                 ,出自宋朝李清照的《南歌子·天上星河转》                                                                                 
004808,棠梨叶落胭脂色，荞麦花开白雪香                                             ,出自宋朝王禹偁的《村行》                                                                                        
004809,荷叶生时春恨生，荷叶枯时秋恨成                                             ,出自唐朝李商隐的《暮秋独游曲江》                                                                                    
004810,明朝挂帆席，枫叶落纷纷                                                 ,出自唐朝李白的《夜泊牛渚怀古》                                                                                     
004811,叶润林塘密，衣干枕席清                                                 ,出自唐朝杜甫的《水槛遣心二首》                                                                                     
004812,柔条纷冉冉，叶落何翩翩                                                 ,出自魏晋曹植的《美女篇》                                                                                        
004813,天涯芳草迷归路，病叶还禁一夜霜                                             ,出自明朝王夫之的《初度口占·辛丑》                                                                                   
004814,绿叶青跗映丹萼，与君裴回上金阁                                             ,出自唐朝王勃的《落花落》                                                                                        
004815,落木萧萧，琉璃叶下琼葩吐                                                ,出自宋朝王十朋的《点绛唇·素香丁香》                                                                                  
004816,双桨来时，有人似、旧曲桃根桃叶                                             ,出自宋朝姜夔的《琵琶仙·双桨来时》                                                                                   
004817,岭水争分路转迷，桄榔椰叶暗蛮溪                                             ,出自唐朝李德裕的《谪岭南道中作》                                                                                    
004818,翠叶藏莺，朱帘隔燕                                                   ,出自宋朝晏殊的《踏莎行·小径红稀》                                                                                   
004819,桐叶落，蓼花残雁声天外寒                                                ,出自宋朝张淑芳的《更漏子·秋》                                                                                     
004820,桂花香雾冷，梧叶西风影                                                 ,出自宋朝高观国的《菩萨蛮·何须急管吹云暝》                                                                               
004821,绿叶兮素华，芳菲菲兮袭予；                                               ,出自先秦屈原的《九歌》                                                                                         
004822,秋木萋萋，其叶萎黄，有鸟处山，集于苞桑                                         ,出自魏晋王昭君的《怨词》                                                                                        
004823,水满田畴稻叶齐，日光穿树晓烟低                                             ,出自宋朝徐玑的《新凉》                                                                                         
004824,南轩有孤松，柯叶自绵幂                                                 ,出自唐朝李白的《南轩松》                                                                                        
004825,著叶满枝翠羽盖，开花无数黄金钱                                             ,出自唐朝杜甫的《秋雨叹三首》                                                                                      
004826,野蔬充膳甘长藿，落叶添薪仰古槐                                             ,出自唐朝元稹的《遣悲怀三首·其一》                                                                                   
004827,松叶堪为酒，春来酿几多                                                 ,出自唐朝张九龄的《答陆澧》                                                                                       
004828,高楼目尽欲黄昏，梧桐叶上萧萧雨                                             ,出自宋朝晏殊的《踏莎行·碧海无波》                                                                                   
004829,地冷叶先尽，谷寒云不行                                                 ,出自唐朝李白的《冬日归旧山》                                                                                      
004830,重阳过后，西风渐紧，庭树叶纷纷                                             ,出自宋朝晏殊的《少年游·重阳过后》                                                                                   
004831,落叶满空山，何处寻行迹                                                 ,出自唐朝韦应物的《寄全椒山中道士》                                                                                   
004832,长条短叶翠濛濛，才过西风，又过东风                                           ,出自明朝夏完淳的《一剪梅·咏柳》                                                                                    
004833,荒村带返照，落叶乱纷纷                                                 ,出自唐朝刘长卿的《碧涧别墅喜皇甫侍御相访》                                                                               
004834,拟泛烟中片叶，但两湖佳处，任风吹泊                                           ,出自清朝徐灿的《念奴娇·西湖雨感次素庵韵》                                                                               
004835,九月寒砧催木叶，十年征戍忆辽阳                                             ,出自唐朝沈佺期的《古意呈补阙乔知之/独不见》                                                                              
004836,隰桑有阿，其叶有幽                                                   ,出自先秦佚名的《隰桑》                                                                                         
004837,桐叶晨飘蛩夜语旅思秋光，黯黯长安路                                           ,出自宋朝陆游的《蝶恋花·桐叶晨飘蛩夜语》                                                                                
004838,芄兰之叶，童子佩韘                                                   ,出自先秦诗经的《芄兰》                                                                                         
004839,先拂商弦后角羽，四郊秋叶惊摵摵                                             ,出自唐朝李颀的《听董大弹胡笳声兼寄语弄房给事》                                                                             
004840,苕之华，其叶青青                                                    ,出自先秦诗经的《苕之华》                                                                                        
004841,颠沛之揭，枝叶未有害，本实先拨                                             ,出自先秦诗经的《荡》                                                                                          
004842,惨惨时节尽，兰叶复凋零                                                 ,出自魏晋徐干的《室思》                                                                                         
004843,苦心岂免容蝼蚁，香叶终经宿鸾凤                                             ,出自唐朝杜甫的《古柏行》                                                                                        
004844,裳裳者华，其叶湑兮                                                   ,出自先秦佚名的《裳裳者华》                                                                                       
004845,石栏斜点笔，桐叶坐题诗                                                 ,出自唐朝杜甫的《重过何氏五首》                                                                                     
004846,绿叶紫裹，丹茎白蒂                                                   ,出自先秦宋玉的《高唐赋》                                                                                        
004847,逐流牵荇叶，缘岸摘芦苗                                                 ,出自唐朝储光羲的《江南曲四首》                                                                                     
004848,霜风捣尽千林叶，闲倚筇枝数鹳巢                                             ,出自宋朝范成大的《冬日田园杂兴》                                                                                    
004849,木叶纷纷下，东南日烟霜                                                 ,出自唐朝刘昚虚的《暮秋扬子江寄孟浩然》                                                                                 
004850,露叶翻风惊鹊坠暗落青林红子                                               ,出自宋朝陈师道的《清平乐·秋光烛地》                                                                                  
004851,秋花冒绿水，密叶罗青烟                                                 ,出自唐朝李白的《古风其五十九》                                                                                     
004852,春云不变阳关雪，桑叶先知胡地秋                                             ,出自唐朝李昂的《从军行》                                                                                        
004853,最是秋风管闲事，红他枫叶白人头                                             ,出自清朝赵翼的《野步》                                                                                         
004854,子规啼彻四更时，起视蚕稠怕叶稀                                             ,出自宋朝谢枋得的《蚕妇吟》                                                                                       
004855,垂柳覆金堤，蘼芜叶复齐                                                 ,出自南北代薛道衡的《昔昔盐》                                                                                      
004856,叶开随足影，花多助重条                                                 ,出自南北代阴铿的《雪里梅花诗》                                                                                     
004857,千里稻花应秀色，五更桐叶最佳音                                             ,出自宋朝曾几的《苏秀道中》                                                                                       
004858,荷叶出地寻丈，因列坐其下，上不见日                                           ,出自宋朝姜夔的《念奴娇·闹红一舸》                                                                                   
004859,汾水碧依依，黄云落叶初飞                                                ,出自宋朝孙光宪的《河渎神·汾水碧依依》                                                                                 
004860,翠叶吹凉，玉容消酒，更洒菇蒲雨                                             ,出自宋朝姜夔的《念奴娇·闹红一舸》                                                                                   
004861,蒲生我池中，其叶何离离                                                 ,出自魏晋甄宓的《塘上行》                                                                                        
004862,一字无题外，落叶都愁                                                  ,出自宋朝张炎的《八声甘州·记玉关踏雪事清游》                                                                              
004863,绿叶素荣，纷其可喜兮                                                  ,出自先秦屈原的《九章》                                                                                         
004864,梧桐叶上，点点露珠零                                                  ,出自宋朝尹鹗的《临江仙·深秋寒夜银河静》                                                                                
004865,酒市渐闲灯火，正敲窗、乱叶舞纷纷                                            ,出自清朝孔夷的《南浦·旅怀》                                                                                      
004866,路入南中，桄榔叶暗蓼花红                                                ,出自唐朝欧阳炯的《南乡子·路入南中》                                                                                  
004867,莲香隔浦渡，荷叶满江鲜                                                 ,出自南北朝刘孝威的《采莲曲·金桨木兰船》                                                                                
004868,新叶初冉冉，初蕊新霏霏                                                 ,出自南北朝谢朓的《咏落梅》                                                                                       
004869,手种黄柑二百株，春来新叶遍城隅                                             ,出自唐朝柳宗元的《柳州城西北隅种柑树》                                                                                 
004870,秋声带叶萧萧落，莫响城头角                                               ,出自清朝董士锡的《虞美人·韶华争肯偎人住》                                                                               
004871,黄叶覆溪桥，荒村唯古木                                                 ,出自唐朝柳宗元的《秋晓行南谷经荒村》                                                                                  
004872,败叶填溪水已冰，夕阳犹照短长亭                                             ,出自清朝纳兰性德的《浣溪沙·败叶填溪水已冰》                                                                              
004873,东门之杨，其叶牂牂                                                   ,出自先秦佚名的《东门之杨》                                                                                       
004874,惠远祠前晋溪水，翠叶银花清见底                                             ,出自元朝元好问的《过晋阳故城书事》                                                                                   
004875,如何同枝叶，各自有枯荣                                                 ,出自唐朝李白的《树中草》                                                                                        
004876,桃根桃叶终相守，伴殷勤、双宿鸳鸯                                            ,出自清朝纳兰性德的《一丛花·咏并蒂莲》                                                                                 
004877,龟游莲叶上，鸟宿芦花里                                                 ,出自唐朝李白的《姑孰十咏》                                                                                       
004878,青蒲衔紫茸，长叶复从风                                                 ,出自南北朝佚名的《拔蒲二首》                                                                                      
004879,商叶堕干雨，秋衣卧单云                                                 ,出自唐朝孟郊的《秋怀十五首》                                                                                      
004880,荷叶五寸荷花娇，贴波不碍画船摇；                                            ,出自清朝石涛的《荷花》                                                                                         
004881,棘枝风哭酸，桐叶霜颜高                                                 ,出自唐朝孟郊的《秋怀十五首》                                                                                      
004882,瘦叶几经雪，淡花应少春                                                 ,出自唐朝于武陵的《赠卖松人》                                                                                      
004883,荒戍落黄叶，浩然离故关                                                 ,出自唐朝温庭筠的《送人东游》                                                                                      
004884,竹怜新雨后，山爱夕阳时                                                 ,出自唐朝钱起的《谷口书斋寄杨补阙》                                                                                   
004885,孙郎微笑，坐来声喷霜竹                                                 ,出自宋朝黄庭坚的《念奴娇·断虹霁雨》                                                                                  
004886,绿叶渐成阴，下有游人归路                                                ,出自宋朝王安石的《伤春怨·雨打江南树》                                                                                 
004887,松竹翠萝寒，迟日江山暮                                                 ,出自宋朝曹组的《卜算子·兰》                                                                                      
004888,擢擢当轩竹，青青重岁寒                                                 ,出自唐朝吕太一的《咏院中丛竹》                                                                                     
004889,西风乱叶溪桥树秋在黄花羞涩处                                              ,出自宋朝张榘的《青玉案·被檄出郊题陈氏山居》                                                                              
004890,孤灯寒照雨，湿竹暗浮烟                                                 ,出自唐朝司空曙的《云阳馆与韩绅宿别》                                                                                  
004891,竹篱茅舍，淡烟衰草孤村                                                 ,出自元朝白朴的《天净沙·冬》                                                                                      
004892,凭阑半日独无言，依旧竹声新月似当年                                           ,出自唐朝李煜的《虞美人·风回小院庭芜绿》                                                                                
004893,过雨西风，数叶井梧愁舞                                                 ,出自宋朝吴文英的《荔枝香近·七夕》                                                                                   
004894,迸箨分苦节，轻筠抱虚心                                                 ,出自唐朝柳宗元的《巽公院五咏·苦竹桥》                                                                                 
004895,道人庭宇静，苔色连深竹                                                 ,出自唐朝柳宗元的《晨诣超师院读禅经》                                                                                  
004896,夜来疏雨鸣金井，一叶舞空红浅                                              ,出自宋朝王月山的《齐天乐·夜来疏雨鸣金井》                                                                               
004897,不是诚斋无月，隔一林修竹                                                ,出自宋朝杨万里的《好事近·七月十三日夜登万花川谷望月作》                                                                        
004898,归来三径重扫，松竹本吾家                                                ,出自宋朝叶梦得的《水调歌头·秋色渐将晚》                                                                                
004899,败垣芳草，空廊落叶，深砌苍苔                                              ,出自唐朝徐再思的《人月圆·甘露怀古》                                                                                  
004900,南国辛居士，言归旧竹林                                                 ,出自唐朝孟浩然的《都下送辛大之鄂》                                                                                   
004901,片帆西去，一声谁喷霜竹                                                 ,出自宋朝辛弃疾的《念奴娇·登建康赏心亭呈史致道留守》                                                                          
004902,竹柏皆冻死，况彼无衣民                                                 ,出自唐朝白居易的《村居苦寒》                                                                                      
004903,野竹分青霭，飞泉挂碧峰                                                 ,出自唐朝李白的《访戴天山道士不遇》                                                                                   
004904,井灶有遗处，桑竹残朽株                                                 ,出自魏晋陶渊明的《归园田居·其四》                                                                                   
004905,淇澳春云碧，潇湘夜雨寒                                                 ,出自明朝憨山德清的《咏竹五首》                                                                                     
004906,绿竹半含箨，新梢才出墙                                                 ,出自唐朝杜甫的《严郑公宅同咏竹》                                                                                    
004907,南山截竹为觱篥，此乐本自龟兹出                                             ,出自唐朝李颀的《听安万善吹觱篥歌》                                                                                   
004908,闻说东风亦多情，被竹外、香留住                                             ,出自宋朝史达祖的《留春令·咏梅花》                                                                                   
004909,绿竹入幽径，青萝拂行衣                                                 ,出自唐朝李白的《下终南山过斛斯山人宿置酒》                                                                               
004910,独写菖蒲竹叶杯，蓬城芳草踏初回                                             ,出自明朝汤显祖的《午日处州禁竞渡》                                                                                   
004911,蓼岸荻花中，隐映竹篱茅舍                                                ,出自宋朝张昪的《离亭燕·一带江山如画》                                                                                 
004912,水绕陂田竹绕篱，榆钱落尽槿花稀                                             ,出自宋朝张舜民的《村居》                                                                                        
004913,凭栏久，黄芦苦竹，拟泛九江船                                              ,出自宋朝周邦彦的《满庭芳·夏日溧水无想山作》                                                                              
004914,野竹交淇水，秋瓜蔓帝邱                                                 ,出自宋朝司马光的《送云卿知卫州》                                                                                    
004915,东岩富松竹，岁暮幸同归                                                 ,出自唐朝王勃的《送卢主簿》                                                                                       
004916,盘馐蒟酱实，歌杂竹枝辞                                                 ,出自宋朝司马光的《送张寺丞觐知富顺监》                                                                                 
004917,西风稍急喧窗竹，停又续，腻脸悬双玉                                           ,出自宋朝阎选的《河传·秋雨》                                                                                      
004918,竹树无声或有声，霏霏漠漠散还凝                                             ,出自唐朝杜荀鹤的《春日山中对雪有作》                                                                                  
004919,见碧水丹山，黄芦苦竹                                                  ,出自宋朝宋江的《满江红·喜遇重阳》                                                                                   
004920,掩柴扉，谢他梅竹伴我冷书斋                                               ,出自明朝沈自晋的《玉芙蓉·雨窗小咏》                                                                                  
004921,窗前竹叶，凛凛狂风折                                                  ,出自宋朝张淑芳的《满路花·冬》                                                                                     
004922,润逼琴丝，寒侵枕障，虫网吹黏帘竹                                            ,出自宋朝周邦彦的《大酺·春雨》                                                                                     
004923,奈南墙冷落，竹烟槐雨                                                  ,出自宋朝吴文英的《惜秋华·七夕前一日送人归盐官》                                                                            
004924,一丛萱草，几竿修竹，数叶芭蕉                                              ,出自宋朝石孝友的《眼儿媚·愁云淡淡雨潇潇》                                                                               
004925,细读离骚还痛饮，饱看修竹何妨肉                                             ,出自宋朝辛弃疾的《满江红·山居即事》                                                                                  
004926,华表月明归夜鹤，叹当时、花竹今如此                                           ,出自宋朝吴文英的《金缕歌·陪履斋先生沧浪看梅》                                                                             
004927,榴叶拥花当北户，竹根抽笋出东墙                                             ,出自明朝汤允绩的《浣溪沙·燕垒雏空日正长》                                                                               
004928,竹疏虚槛静，松密醮坛阴                                                 ,出自唐朝张泌的《女冠子·露花烟草》                                                                                   
004929,青林翠竹，四时俱备                                                   ,出自南北朝陶弘景的《答谢中书书》                                                                                    
004930,历冰霜、不变好风姿，温如玉                                               ,出自魏晋陆容的《满江红·咏竹》                                                                                     
004931,竹竿有甘苦，我爱抱苦节                                                 ,出自唐朝孟郊的《苦寒吟》                                                                                        
004932,坐荫从容烦暑退，清心恍惚微香触                                             ,出自魏晋陆容的《满江红·咏竹》                                                                                     
004933,上窗风动竹，月微明                                                   ,出自清朝吕渭老的《小重山·七夕病中》                                                                                  
004934,淇园春竹美，军宴日椎牛                                                 ,出自宋朝司马光的《送龚章判官之卫州·新及第》                                                                              
004935,团扇不摇风自举，盈盈翠竹，纤纤白苎，不受些儿暑                                     ,出自明朝文征明的《青玉案·庭下石榴花乱吐》                                                                               
004936,想翠竹、碧梧风采，旧游何处                                               ,出自魏晋张宁的《满江红·题碧梧翠竹送李阳春》                                                                              
004937,松竹含新秋，轩窗有余清                                                 ,出自唐朝崔元翰的《奉和圣制中元日题奉敬寺》                                                                               
004938,迟迟钟鼓初长夜，耿耿星河欲曙天                                             ,出自唐朝白居易的《长恨歌》                                                                                       
004939,蜡炬风摇帘不下，竹影半墙如画                                              ,出自清朝项鸿祚的《清平乐·池上纳凉》                                                                                  
004940,辛苦遭逢起一经，干戈寥落四周星                                             ,出自宋朝文天祥的《过零丁洋》                                                                                      
004941,野店垂杨步，荒祠苦竹丛                                                 ,出自宋朝范成大的《寒食郊行书事》                                                                                    
004942,星汉灿烂，若出其里                                                   ,出自魏晋曹操的《观沧海》                                                                                        
004943,先生名利比尘灰，绿竹青松手自栽                                             ,出自宋朝王汝舟的《咏归堂隐鳞洞》                                                                                    
004944,烟萝翠竹，欠罗袖、为倚天寒日暮                                             ,出自宋朝吴文英的《绛都春·余往来清华池馆六年赋咏屡矣感昔伤今益不堪怀乃复作此解》                                                            
004945,雄州雾列，俊采星驰                                                   ,出自唐朝王勃的《滕王阁序》                                                                                       
004946,高节志凌云，不敢当滕六                                                 ,出自清朝环山樵的《薛宝钗·雪竹》                                                                                    
004947,玉树犹难伸，压倒千竿竹                                                 ,出自清朝环山樵的《薛宝钗·雪竹》                                                                                    
004948,月明星稀，乌鹊南飞绕树三匝，何枝可依                                          ,出自魏晋曹操的《短歌行》                                                                                        
004949,竹树带飞岚，荇藻俱明丽                                                 ,出自清朝刘道著的《湘江秋晓》                                                                                      
004950,日暮九疑何处认舜祠丛竹                                                 ,出自清朝文廷式的《好事近·湘舟有作》                                                                                  
004951,迢迢牵牛星，皎皎河汉女                                                 ,出自汉朝佚名的《迢迢牵牛星》                                                                                      
004952,种竹淇园远致君，生平孤节负辛勤                                             ,出自宋朝王汝舟的《咏归堂隐鳞洞》                                                                                    
004953,修竹畔，疏帘里歌余尘拂扇，舞罢风掀袂                                          ,出自宋朝谢逸的《千秋岁·咏夏景》                                                                                    
004954,星点点，月团团倒流河汉入杯盘                                              ,出自宋朝刘著的《鹧鸪天·雪照山城玉指寒》                                                                                
004955,性孤高似柏，阿娇金屋                                                  ,出自魏晋陆容的《满江红·咏竹》                                                                                     
004956,柏府楼台衔倒影，茅茨松竹泻寒声                                             ,出自明朝王守仁的《次韵陆佥宪元日春晴》                                                                                 
004957,银鞍照白马，飒沓如流星                                                 ,出自唐朝李白的《侠客行》                                                                                        
004958,未成林，难望凤来栖，聊医俗                                               ,出自魏晋陆容的《满江红·咏竹》                                                                                     
